,preproc_txt,spam_num
0,зеленськ заявит тем демілітаризац денацифікац обговорюв переговор рф,0
1,баранович взлетел истребител,1
2,атакув окупант знищит російськ суспільств досягт минул рік,0
3,представник львівщин віктор легкодух виборот друг медал гра нескорен здобут срібл гребл тренажер результат о метр віктор переверш найкращ результат метр скарбничц львів янин гра нескорен золот штовхан ядр нагад віктор піт захищ україн перш дно російськ агрес навесн о ч го рок воюв найгарячіш точк сход україн серпен о ч рок отрим важк вогнепальн мін вибухов поранен хребет післ тривал реабілітац поч посилит займ спорт вдат здол візок лондонськ марафон про повідомит макс козицьк типов львів стікер надісл новин,0
4,що більш експорт те дорожч валют,0
5,донбас ничег жив останет посол освобожден,0
6,же формул втор использует,0
7,тревог окол ноч,0
8,рос последня импер мир как друг импер он глаз распадает посол поражен украин всем ясен исход рос как лоскутно одеял развалит байкал владивосток историческ манчжур заберет обратн кита карел фин кенигсберг герман польш кавкз турц крым турц украин совместн кубан украин,0
9,проклин москал детск сад разбомбил памагити руск школ детсад бимбят вот детк которы под завал піт находят ещ повторит сегодняшн украинц хуж цыган цыган хот как понят ест,1
10,жахлив кадр маріупол боєц полк аз,1
11,постоян бабахает,1
12,подорван мост,1
13,видел взрывы работает пво,1
14,столбов мэр город балакле решил уйт тюрьм лет стат госизмен сливает город трух украин присл новост,1
15,путін хуйл,0
16,начальник чернігівськ ов вьячесл чаус повідомл стадіон гагарін знайт нерозірван снаряд фаб о,0
17,пуст разворачивают летят кремл,0
18,больш чацт попвалац,1
19,нап ят знат ч дно говорит мамк чут бит поч,0
20,гіркін стрілк нов інтерв відкрит визн рос використовув жител донбас гарматн мьяс поберегт власн російськ солдат мобілізован бойовик лднр мужик шкод підготовк відправл смерт кид лоб атак укріплен українськ позиц,0
21,втрат росі вчорашн ден,0
22,військ перейт меж,1
23,шо військомат сказ брат ірпін,0
24,торент вархамер скачан,0
25,соседн дом тож не учит,0
26,эантон птушкин отреагировал запрет вїезж рос оказывает о лет запретил вїезд рашк тольк птушкин персон нон грат стат андр данилк иван дорн светлан лобод алан бадо святосл вакарчук андр бедняк владимир дантес,0
27,заступник начальник штаб українськ оз окрем батальйон морськ піхот слов батальйон розбігт два доб бігут,1
28,прям сегодн свет очен стран,0
29,речпорт спокойн,1
30,оршанц полигон бахают учат,1
31,ч сирен ден,0
32,будинок трус,0
33,отец дом танк солдат с белым полоск,1
34,бут тест використовув тнр ч,0
35,авиац слышно,1
36,кто продает мопед альф дельт ил мот иж планет,0
37,стерпит злюбит,0
38,где вы восем лет,0
39,міноборон росі заявит про знищен нафтопереробн завод три сховищ паливн мастильн матеріал район одес,1
40,сегодн прям сейчас напеч хлеб,0
41,взят танк спалит перт банк огірок,0
42,вот выраст купит грузовик,0
43,бан відсиділ тижден,0
44,бусік прилетіт гранат варіант відкинут вперед де ніхт відкинут направ де пуст залишит гранат г відкинут гол товариш московит правильн відповід г пс момент віде азов заміт автор телеграм канал нижч повн віде,0
45,откуд инф официальных нашл тольк о бо,1
46,луз червон калин похилит,0
47,ок де реєструв тест,0
48,фотошоп закінчув переходит ілюстратор,0
49,дозвонил дуж прикр пожарн фіолетов,0
50,кто бомбил рос,0
51,півтор місяц бут наквартир дум барабашк загад каналізац,0
52,серг прям сейчас сожет,0
53,нем знат інформув ворог,0
54,сумгаїт о танк,1
55,ровенск област сильны пожар,1
56,всегд ставит что взрывы,1
57,хвилюв прильот бут тривог,0
58,маршрутк їздит час обстріл,0
59,розклад рух поізд автобус,1
60,ноч горел два шкаф с автоматик жд перегон осипович верейц под осипович мчс рб собщает что сегодн о о поступит собщен о возгоран двух устройств сигнализац централизац блокировк жд перегон осипович верейц под осипович результат пожар устройств поврежден информац ведомств задержк движен поезд пострадавш нет,1
61,само смешно несовместимост с нов верс реакт вылазит тольк нов проект,0
62,по,0
63,област меняет продолжительност комендантск час тепер он начин о заканчивает утр присл новост,0
64,кто помнит что кацап захватит хотел каневск гэс,0
65,даж приним ценик о лям эту сум можн парочк фрегат построит ч калибр кажд,0
66,бут прям вікн підійт відкрит провітрюван блискавк освітлил кімнат пот одраз грім бут страшн,0
67,настояще врем обучен школ черкас присоединил ученик вынужден покинувш дом,0
68,блін страшн,0
69,мят кайф сто балкон воздух свеженьк,0
70,оз о состоян снов пожар сухосто монастырец львовск област,0
71,посол побед откро ви так секрет что чут ли покажет бедност,0
72,как танк упор растрелял груп всу виде с друг сторон жалк концовк,1
73,крейсер москв находит плав добрал севастопол сво хід прес секретар пентагон джон кирб,0
