commenttext,spam
"Зеленський заявив, що такі теми як «демілітаризація» та «денацифікація» навіть не обговорюються на переговорах із РФ.",false
23:06 Барановичи. Взлетел истребитель.  @Hajun_BY,true
"атакуючи нас, окупанти знищать усе, чого російське суспільство досягло за минулі 25 років",false
"Представник Львівщини Віктор Легкодух виборов другу медаль на «Іграх Нескорених»!  Він здобув «срібло» у греблі на тренажері. З результатом у 807 метрів Віктор перевершив свій найкращий результат на 3 метри!   У скарбничці львів’янина на «Іграх Нескорених» уже є «золото» у штовханні ядра.  Нагадаю, Віктор пішов захищати Україну у перші дні російської агресії навесні 2014-го. Пів року воював у найгарячіших точках на сході України. У серпні 2014 року отримав важке вогнепальне мінно-вибухове поранення у хребет. Після тривалої реабілітації почав посилено займатися спортом.   Йому вдалося здолати на візку Лондонський марафон.  Про це повідомив Максим Козицький  👉 Типовий Львів Стікери | Надіслати новину",false
"Чим більший експорт, тим дорожча валюта",false
"Но в Донбассе ничего живого не останется после ""освобождения""",false
Ну там же в формулах второй используется,false
1 тревога около 12 ночи,false
"Россия последняя империя в мире. Как и другие империи, она на глазах распадается. После поражения от Украины (уже всем ясен исход), Россия как лоскутное одеяло развалится. Байкал-Владивосток (историческая Манчжурия) заберет обратно Китай, Карелию – Финны, Кенигсберг – Германия и Польша, Кавкз – Турция, Крым – Турция и Украина (совместно), Кубань – Украина",false
"Проклинать москалы! Детский сад разбомбили! Памагииитиии! Русские школы и детсады бимбят! А вот и детки, которые под завалами потом находятся. Еще раз повторю – сегодняшние украинцы хуже цыган, у цыган хоть какие-то понятия есть.",true
"Жахливі кадри Маріуполя від бійця полку ""Азов""",true
постоянно бабахает,true
Подорван мост.,true
"Видели взрывы, работает пво",true
Столбовой мэр города Балаклея решил уйти в тюрьму на 15 лет по статье госизмена и сливает город… ТРУХА⚡️Украина | Прислать новость,true
Путін Хуйло,false
"Начальник Чернігівської ОВА В'ячеслав Чаус повідомляє, що на стадіоні Гагаріна знайшли нерозірваний снаряд ФАБ-500.",false
Пусть разворачиваются и летят на Кремль,false
Так там большая чacть пpopвалаcье к нашим,true
Напам’ять знаю 4 дні то говорила мамка чуть бити не почала🤣🙈,false
"Гіркін-Стрілков у новому інтерв'ю відкрито визнано, що Росія використовує жителів Донбасу як гарматне м'ясо, щоб поберегти своїх власних російських солдатів. Мобілізованих бойовиками ЛДНР мужиків, яких не шкода, без жодної підготовки відправляють на смерть, кидаючи у лобові атаки на укріплені українські позиції. https://www.youtube.com/watch?v=NDtKzkpVJps",false
Втрати Росії за вчорашній день,false
Наші війська перейшли межі ваші?,true
А шо у військоматі сказали? Беруть під Ірпінь?,false
І в мене ще торрент вархаммера скачан,false
У нас соседние дома) тоже в ней училась)),false
"ЭАнтон Птушкин отреагировал на запрет въезжать в россию 😁  Оказывается, на 50 лет запретили въезд в рашку не только Птушкину. Персонами нон-грата стали:  ▪️Андрей Данилко ▪️Иван Дорн ▪️Светлана Лобода ▪️Алан Бадоев ▪️Святослав Вакарчук ▪️Андрей Бедняков ▪️Владимир Дантес",false
"Заступник начальника штабу українського 503 окремого батальйону морської піхоти. За його словами, батальйон розбігся ще дві доби тому. Бігут🐀",true
Прям сегодня Света очень странная,false
речпорт – спокойно,true
"В оршанце на полигоне бахают, учатся)",true
4 сирени за пів дня...,false
аж будинок трусі,false
"Отец был дома, танки и солдаты с белыми полосками.",true
Що у будь-якому тесті використовується ТНР 14,false
Авиацию слышно,true
"Кто продает мопед Альфа, Дельта или мот Иж планета",false
"А там стерпитися, злюбитись",false
где вы были восемь лет?,false
У Мінобороні Росії заявили про знищення нафтопереробного заводу та трьох сховищ паливно-мастильних матеріалів у районі Одеси,true
Сегодня и прям сейчас напечу хлеба,false
Та я взяла та їхній танк спалила при чому банкою з огірками,false
вот вырасту и куплю себе грузовик,false
Сама в бані відсиділа 2 тижні.,false
"🤔Ти під бусіком. Прилетіла граната. Твої варіанти: А) Відкинути вперед, де нікого немає Б) Відкинути направо, де теж пусто В) Залишитися із гранатою Г) Відкинути до голов своїх товаришів Московит: правильна відповідь Г PS цей момент на відео Азову замітив автор телеграм каналу @istukrmemes 👇🏻 Нижче повне відео",false
"А откуда инфа? Я на официальных не нашла, только о боях там",true
Ой у лузі червона калина похилилася,false
"Ок, а де реєструватись на цей тест?",false
Я фотошоп закінчую переходити на ілюстратор вже,false
Дозвонилась Дуже прикро що навіть пожарним фіолетово,false
😂 а кто бомбил? Россия?,false
Мене півтора місяці не було наквартирі. Не думаю що барабашка загадив у мене каналізацію,false
Сергей прям сейчас сожжет,false
нема чого знати) не інформуємо ворога,false
сумгаїться 10 наші танки,true
В Ровенской области сильный пожар.,true
"Я всегда ставлю, что взрывы )))",true
"Не хвилюйтеся, в нас всі прильоти були без тривоги",false
Маршрутки їздити під час обстрілу?,false
розклад руху поіздів чи автобусів,true
"Ночью горели два шкафа с автоматикой на ЖД-перегоне «Осиповичи-Верейцы» под Осиповичами  МЧС РБ сообщает, что сегодня в 02:01 поступило сообщение о возгорании двух устройств сигнализации, централизации и блокировки на ЖД-перегоне «Осиповичи-Верейцы» под Осиповичами.  В результате пожара устройства повреждены, по информации ведомства, задержки в движении поездов и пострадавших нет.   @motolkohelp",true
"но самое смешное, несовместимость с новой версией реакта вылазит только на новом проекте",false
Ппо,false
В области меняется продолжительность комендантского часа: теперь она будет начинаться в 21:00 и заканчивается в 6 утра. Прислать новость 📸,false
"А кто помнит, что кацапы захватить хотели каневский ГЭС?",false
"Даже если принимать ценник в 750 лямов, то на эту сумму можно парочку фрегатов построить по 48 калибров в каждом...",false
"Була прям біля вікна, підійшла відкрити на провітрювання - блискавка освітлила кімнату, потім одразу грім, але було страшно!",false
"В настоящее время к обучению в школах Черкасс присоединились 225 учеников, вынужденно покинувших дом.",false
"Блін, так страшно",false
А мне в кайф. Стою на балконе. Воздух свеженький,false
"28.03.2022 по состоянию на 16:25 Снова пожар сухостоя, Монастырец, Львовская область",false
"В, после победы откроем вам такой секрет, что чуть ли не покажется, бедность",false
⚡️ Как танк в упор расстрелял группу ВСУ  Видео с другой стороны.  Жалко без концовки...,true
"Крейсер ""Москва"" находится на плаву и добрался до Севастополя своим ходом — пресс-секретарь Пентагона Джон Кирби.",false
"Щира подяка всім хто відгукнувся! Миру, добра та перемоги!",false
Что-то чутно?,false
Моя мама живет на казбете,false
Шей казав шо відімстить,false
"Повідомляється про потужні вибухи у Києві. Частина міста залишилася без електрики. Також з'явилася інформація про вибухи у Харкові та Херсоні, пожежу на нафтобазі в Івано-Франківську.",true
"москали то больные люди Любят воевать, А мы будем на них Из Говерлы срать.....со своими аля угрозами они все вместе с хуйловатым путином инфузорией туфелькой пойдут на хуй!!!!!!!",false
"Вже місяць у нашому місті живуть Олександра та Ірина. Дівчата - приїхали з Харкова. Там понад два роки вони керували міським кафе ""Тремпель"", розташованим у самому серці Харкова - на площі Свободи.  На жаль, ворожий снаряд в один день знищив все, чим жила команда закладу.   Як переселенки облаштувалися у Рівному та який заклад незабаром запрацює по-новому під керівництвом дівчат - читайте далі: https://bit.ly/3OnBxlz",false
в театре прячется больше 1500 людей,true
Незрозуміло хто сказав незрозуміло що,false
"Міноборони Чехії заявляє, що чеські компанії здійснюватимуть капітальний ремонт української бронетехніки та проводитимуть її сервісне обслуговування. Перший контракт включатиме ремонт радянських танків Т-64, які постраждали в боях або які були в консервації і потребують повного відновлення. Також українські танки ремонтуватимуть на чеських виробництвах Словаччини. Водночас дрібним ремонтом техніки займатимуться самі українці. ПІДПИСАТИСЯ⚡️ Надіслати новина",false
Глаз как орела а слух как слона,false
"🚁12:12 Боків, два вертольоти летять у бік Єльська (півдня чи у бік України). 🚁12:14 Боков, один вертольота летить у бік Мінська (північ) 🚁12:17 Боков, один вертольота летить у бік Пінська (захід) Hajun_BY",true
"вот именно что с палками пацаны стоят, ни оружия, ничего нет, пусть хоть с палками если честно",true
колона,true
Прям сейчас наварю борща,false
Ссылка доступна. По названию города нашли,true
"Замначальника штаба украинского 503-го отдельного батальона морской пехоты. По его словам, батальон разбежался еще два дня назад. Бегут🐀",true
"Норвегія направить Україні 100 зенітно-ракетних комплексів ""Містраль"", повідомили в Міноборони країни.",true
"⚡️СРОЧНЫЕ НОВОСТИ НА 20.04⚡️    😱ЗЕЛЕНСКИЙ ТЕПЕРЬ НЕ ОТВЕРТИТСЯ!  Всплыли неопровержимые доказательства причастности Азовцев к расстрелу мирного населения в Буче. (видео с одной из камер наблюдения на частном доме)  Четко видно, как люди пытаются спастись от стреляющих боевиков с синими повязками 👉 azov-pod-bechey.mp4  Полное Видео залили на наш резерв 👉 Жми (ПЕРЕЙТИ В РЕЗЕРВ)  https://t.me/+lttQ3qbttYk3NmZi",true
"далее от всякого военного держитесь, пожалуйста, особенно.",true
Вы это тоже видите? Просто идеальный SHUTTLE ROLL,false
"Выходить с белыми флагами — Минобороны РФ дало два часа нацистам из «Азовстали» для мирного выхода  Там отметили, что факт готовности к введению «режима тишины» подтверждается по всем каналам связи обеими сторонами.  «С 14:00 до 16:00 (мск) 19 апреля – выход всех без исключения украинских вооруженных подразделений и иностранных наемников, без какого-либо оружия и боеприпасов», — заявили в российском оборонном ведомстве.  В Минобороны добавили, что всем сложившим оружие, гарантируется сохранение жизни. Украинские воинские формирования обязаны выходить с поднятием белых флагов, с российской стороны — красных.",true
Да где-то под аляской,false
"❗️Глава МИД ФРГ Бербок заявила, что у Германии нет вооружения, которое можно быстро поставить Украине.❗️",true
"я видела эту передачу 😂их потешеть спрашивают что здесь все так плохо, цены мол нереальные, зарплаты маленькие, россияне сидят голодные 🤣🤣🤣и доказательство там были видео у нас почти 2 месяца нет.",false
"Жменя, завтра ввечері зайнятий?",false
"Если вчера, то на Балаклею",true
"але це чисто моя думка, дніпровського військового експерта",true
Количество машин в ангаре?,false
Давай прям зараз з'їмо шоколодку,false
‼️🇷🇺Ракетные удары во Львове и на Днепропетровщине подтверждены Фото из Новомосковска t.me/RVvoenkor,true
"🇺🇦🇷🇺Российские ""Краснополи"" бьют по штабу ВСУ в Мариуполе   Российская артиллерия работает по штабу ВСУ в комбинате ""Азовсталь"" в Мариуполе.   @anna_news",true
"Ахахахахахахахах. Ля, налякали їжака голою сракою",false
Ну у меня перестали работать(Днепр. район),true
‼️🇷🇺Бойове братство: морпіхи армії Росії та бійці Народної міліції ДНР штурмують Маріуполь https:// /1069,true
Иди покорми Вололимира,false
Бомбі літіли,true
ВСУ обезврежены и оккупированы,true
"Доброго, як там твої знайомі у Дніпрі",false
там где-то двух диверсантов ищут на белой машине,true
Під вікнами прям зараз хтось ходити,false
Какие то солдаты пошли в строну любови,true
Я тут рядом)) Возле 10 школы),true
летить байрактор,true
"🇺🇦🇷🇺Російські бойові машини піхоти БМП-3 під Волновахою, березень 2022 року. @anna_news",true
Під д н р,true
Ракета впала десь,true
учіліще горить після того як ракета потрапила в нього,true
"​​📮 Деталізована LIVE Мапа бойових дій від Deep State вже доступна в Telegram боті «Загальні бойові втрати» — @zbvUA_bot 🇺🇦  Мапа вибудовується на основі публічних даних командою Deep State, переноситься та додатково оброблюється в телеграм-боті Загальні бойові втрати. Телеграм версія доповнена додатковою легендою з поясненням усіх умовних позначень  Щоб почати користуватися новими функціями — пропишіть /start в боті  Вперед до перемоги! Слава Україні! 🇺🇦",false
"🇨🇳🇸🇧 Китай підписав широкомасштабний Пакт про безпеку з Соломоновими островами. Китай заявляє, що підписав широкомасштабний Пакт про безпеку з Соломоновими островами через кілька годин після того, як США оголосили про відправлення офіційних осіб до південнотихоокеанської країни на тлі побоювань, що Пекін може встановити там військовий плацдарм. Положення проекту угоди, що просочилося минулого місяця, викликало тривогу, оскільки вона дозволяє китайській службі безпеки та військово-морському флоту розміститися на Соломонових островах, країні з населенням близько 700 000 осіб. Офіційний представник МЗС КНР Ван Веньбінь заявив у вівторок (19 квітня), що «міністри закордонних справ Китаю та Соломонових островів нещодавно офіційно підписали рамкову угоду про співпрацю в галузі безпеки», не надавши подробиць щодо остаточної версії угоди. Згідно з проектом, озброєна китайська поліція може бути розгорнута на прохання Соломонових островів для підтримки «громадського порядку», хоча прем'єр-міністр Манасія Согаваре неодноразово заявляв, що не має наміру дозволяти Китаю будувати там військову базу. Занепокоєння угодою висловили у США. Вашингтон із союзниками в регіоні побоюється, що подібний крок може зміцнити позиції Пекіна, давши йому військовий плацдарм у південній частині Тихого океану. @geoprosto",false
"Прошу відгукнутись девочку, , яка їхала зімною сьогодні 14.04.22р  з Чехова, яку проводжав брат, і дівчина брата в Немирів   р-н сільхозтехніки,, там де ""суперова"" дорога  через поле😁😁.   Знай, я  пів години блукав по тому районі)))😂😂   Якщо ти читаєш це оголошення,   звяжись зімною)))",false
"Київський режим готує провокацію, аналогічну до тієї, що була на вокзалі в Краматорську — Міноборони Росії. Найближчим часом українські військові планують завдати удару ""Точкою-У"" по скупченню біженців на вокзалі в населеному пункті Лозова.",true
працює байрактор,true
стали занимать оборону.,true
"Энерго, газо и водоснабжение не удастся восстановить в городах Попасная, Рубежное и еще в части сел Луганской области до завершения войны, сообщил глава Луганской ОВ Сергей Гайдай. Оперативные новости без фейков и пропаганды 👉🏻 НК+ > Подписаться",false
"Орки думали, що спокійно підуть з України, але не тут то було... Чоловік викруткою виколов очі орку, просто послухайте який рай для вух 😍 👉 Основа 👉 БДСН 18+",false
вулиця під вогнем,true
работают рядом и шумят,false
"Сам хоть понял что сказал?) Я говорю, что правда всегда одна",false
"Лучшую оценку бывшим комбатам Азова: Билецкому и Жорину, дала говорящая голова нынешнего комполка Редиса. Калина обозначил их как трусов и предателей. Сейчас Жорин собирает полк новый. Кто туда пошёл, должен поработать головой.",true
"Его нужно обязательно судить, а еще заставить рассказать обо всех тех бесчинствах, которые они делали десятилетиями в Украине! А потом публично расстрелять! Он не заслуживает жизни! Как и вся его семья!",false
То зустріч гарантована,false
Десь поїхав мій милій далеко,false
"Ватну харківську пізду Валерію місцеві активісти знайшли та затримали у Дніпрі. Та, що чекала на ""звільнення"" нашого міста",false
коли єбашити русь,true
Росгвардия задержала провокаторов в Херсоне при попытке организовать антироссийский митинг.,true
"Ходять чутки, що на фаїті теж дівчата є",false
Работает стенгер,true
"Я вчилася на реабілітолога тому посвята проводилася у нас так: Брався велетенський казан в який заливали рево, водку, вино, пиво, сік вишневий і шот, все це заливалося в кожного першокурсника і всіх бажаючих по ортезу ноги, після того треба було поцілувати портрет зава кафедри (її терпіти ніхто не міг)",false
А його любиме місто Дісней-ленд,false
Кадирки самое слабое в русской армии.,false
Херсон: чути вибухи! Залишайтесь в укриттях  Чекаємо офіційного підтвердження.  НОВИНА,true
